id,text,source
1,"I absolutely love this product, it exceeded all my expectations!",review
2,"The service was terrible and the staff were rude.",review
3,"The package arrived on time.",review
4,"This is the worst experience I have ever had. Never coming back.",review
5,"Pretty decent quality for the price.",review
6,"I'm not sure how I feel about this — it's okay I guess.",review
7,"Outstanding customer support, they resolved my issue in minutes!",review
8,"The item was damaged and the refund process took forever.",review
9,"Neutral packaging, nothing special.",review
10,"Blown away by how good this is. 10 out of 10 would recommend.",review
